"","gene","color"
"357","FAGR_UCONN_19608","green"
"358","FAGR_UCONN_10113","green"
"359","FAGR_UCONN_04748","green"
"360","FAGR_UCONN_05461","green"
"361","FAGR_UCONN_08416","green"
"362","FAGR_UCONN_19919","green"
"363","FAGR_UCONN_14001","green"
"364","FAGR_UCONN_24345","green"
"365","FAGR_UCONN_01390","green"
"366","FAGR_UCONN_27921","green"
"367","FAGR_UCONN_07696","green"
"368","FAGR_UCONN_12027","green"
"369","FAGR_UCONN_14603","green"
"370","FAGR_UCONN_06460","green"
"371","FAGR_UCONN_08667","green"
"372","FAGR_UCONN_13859","green"
"373","FAGR_UCONN_14187","green"
"374","FAGR_UCONN_03954","green"
"375","FAGR_UCONN_10139","green"
"376","FAGR_UCONN_10945","green"
"377","FAGR_UCONN_15004","green"
"378","FAGR_UCONN_09187","green"
"379","FAGR_UCONN_03905","green"
"380","FAGR_UCONN_29604","green"
"381","FAGR_UCONN_00554","green"
"382","FAGR_UCONN_32650","green"
"383","FAGR_UCONN_03997","green"
"384","FAGR_UCONN_03982","green"
"385","FAGR_UCONN_28686","green"
"386","FAGR_UCONN_10636","green"
"387","FAGR_UCONN_17161","green"
"388","FAGR_UCONN_22096","green"
"389","FAGR_UCONN_10416","green"
"390","FAGR_UCONN_26302","green"
"391","FAGR_UCONN_27233","green"
"392","FAGR_UCONN_03925","green"
"393","FAGR_UCONN_20433","green"
"394","FAGR_UCONN_03583","green"
"395","FAGR_UCONN_22365","green"
"396","FAGR_UCONN_21290","green"
"397","FAGR_UCONN_03871","green"
"398","FAGR_UCONN_05223","green"
"399","FAGR_UCONN_27119","turquoise"
"400","FAGR_UCONN_25848","turquoise"
"401","FAGR_UCONN_18623","turquoise"
"402","FAGR_UCONN_01815","turquoise"
"403","FAGR_UCONN_07992","turquoise"
"404","FAGR_UCONN_14916","turquoise"
"405","FAGR_UCONN_03577","turquoise"
"406","FAGR_UCONN_15255","turquoise"
"407","FAGR_UCONN_10507","turquoise"
"408","FAGR_UCONN_08480","turquoise"
"409","FAGR_UCONN_01093","turquoise"
"410","FAGR_UCONN_18149","turquoise"
"411","FAGR_UCONN_09960","turquoise"
"412","FAGR_UCONN_00096","turquoise"
"413","FAGR_UCONN_30116","turquoise"
"414","FAGR_UCONN_28400","turquoise"
"415","FAGR_UCONN_00487","turquoise"
"416","FAGR_UCONN_09394","turquoise"
"417","FAGR_UCONN_29205","turquoise"
"418","FAGR_UCONN_31760","turquoise"
"419","FAGR_UCONN_00889","turquoise"
"420","FAGR_UCONN_28498","turquoise"
"421","FAGR_UCONN_27723","turquoise"
"422","FAGR_UCONN_05998","turquoise"
"423","FAGR_UCONN_13088","turquoise"
"424","FAGR_UCONN_10680","turquoise"
"425","FAGR_UCONN_25701","turquoise"
"426","FAGR_UCONN_22279","turquoise"
"427","FAGR_UCONN_04434","turquoise"
"428","FAGR_UCONN_13733","turquoise"
"429","FAGR_UCONN_21077","turquoise"
"430","FAGR_UCONN_27940","turquoise"
"431","FAGR_UCONN_26508","turquoise"
"432","FAGR_UCONN_12523","turquoise"
"433","FAGR_UCONN_32342","turquoise"
"434","FAGR_UCONN_29693","turquoise"
"435","FAGR_UCONN_12385","turquoise"
"436","FAGR_UCONN_16044","turquoise"
"437","FAGR_UCONN_22617","turquoise"
"438","FAGR_UCONN_01484","turquoise"
"439","FAGR_UCONN_29932","turquoise"
"440","FAGR_UCONN_20343","turquoise"
"441","FAGR_UCONN_20183","turquoise"
"442","FAGR_UCONN_06745","turquoise"
"443","FAGR_UCONN_13298","turquoise"
"444","FAGR_UCONN_25016","turquoise"
"445","FAGR_UCONN_15696","turquoise"
"446","FAGR_UCONN_12184","turquoise"
"447","FAGR_UCONN_02266","turquoise"
"448","FAGR_UCONN_17159","turquoise"
"449","FAGR_UCONN_07990","turquoise"
"450","FAGR_UCONN_08563","turquoise"
"451","FAGR_UCONN_00195","turquoise"
"452","FAGR_UCONN_00624","turquoise"
"453","FAGR_UCONN_30774","turquoise"
"454","FAGR_UCONN_12283","turquoise"
"455","FAGR_UCONN_14327","turquoise"
"456","FAGR_UCONN_31859","turquoise"
"457","FAGR_UCONN_07832","turquoise"
"458","FAGR_UCONN_27664","turquoise"
"459","FAGR_UCONN_21875","turquoise"
"460","FAGR_UCONN_26627","turquoise"
"461","FAGR_UCONN_04324","turquoise"
"462","FAGR_UCONN_12096","turquoise"
"463","FAGR_UCONN_03607","turquoise"
"464","FAGR_UCONN_16016","turquoise"
"465","FAGR_UCONN_15101","turquoise"
"466","FAGR_UCONN_19534","turquoise"
"467","FAGR_UCONN_12814","turquoise"
"468","FAGR_UCONN_27410","turquoise"
"469","FAGR_UCONN_13619","turquoise"
"470","FAGR_UCONN_32659","turquoise"
"471","FAGR_UCONN_24430","turquoise"
"472","FAGR_UCONN_12139","turquoise"
"473","FAGR_UCONN_11655","turquoise"
"474","FAGR_UCONN_24531","turquoise"
"475","FAGR_UCONN_13895","turquoise"
"476","FAGR_UCONN_31534","turquoise"
"477","FAGR_UCONN_06415","turquoise"
"478","FAGR_UCONN_27930","turquoise"
"479","FAGR_UCONN_31245","turquoise"
"480","FAGR_UCONN_00140","turquoise"
"481","FAGR_UCONN_04956","turquoise"
"482","FAGR_UCONN_12738","turquoise"
"483","FAGR_UCONN_29069","turquoise"
"484","FAGR_UCONN_00039","turquoise"
"485","FAGR_UCONN_27780","turquoise"
"486","FAGR_UCONN_11946","turquoise"
"487","FAGR_UCONN_15301","turquoise"
"488","FAGR_UCONN_16410","turquoise"
"489","FAGR_UCONN_11659","turquoise"
"490","FAGR_UCONN_20441","turquoise"
"491","FAGR_UCONN_12168","turquoise"
"492","FAGR_UCONN_02439","turquoise"
"493","FAGR_UCONN_27461","turquoise"
"494","FAGR_UCONN_19915","turquoise"
"495","FAGR_UCONN_13721","turquoise"
"496","FAGR_UCONN_21323","turquoise"
"497","FAGR_UCONN_28077","turquoise"
"498","FAGR_UCONN_20984","turquoise"
"499","FAGR_UCONN_11870","turquoise"
"500","FAGR_UCONN_27072","turquoise"
"501","FAGR_UCONN_16260","turquoise"
"502","FAGR_UCONN_32172","turquoise"
"503","FAGR_UCONN_23975","turquoise"
"504","FAGR_UCONN_11689","turquoise"
"505","FAGR_UCONN_11810","turquoise"
"506","FAGR_UCONN_21368","turquoise"
"507","FAGR_UCONN_03207","turquoise"
"508","FAGR_UCONN_24095","turquoise"
"509","FAGR_UCONN_09662","turquoise"
"510","FAGR_UCONN_31831","turquoise"
"511","FAGR_UCONN_14048","turquoise"
"512","FAGR_UCONN_08088","turquoise"
"513","FAGR_UCONN_09456","turquoise"
"514","FAGR_UCONN_21042","turquoise"
"515","FAGR_UCONN_25518","turquoise"
"516","FAGR_UCONN_05055","turquoise"
"517","FAGR_UCONN_28210","turquoise"
"518","FAGR_UCONN_24710","turquoise"
"519","FAGR_UCONN_30462","turquoise"
"520","FAGR_UCONN_28624","turquoise"
"521","FAGR_UCONN_03123","turquoise"
"522","FAGR_UCONN_24542","turquoise"
"523","FAGR_UCONN_10527","turquoise"
"524","FAGR_UCONN_10259","turquoise"
"525","FAGR_UCONN_13240","turquoise"
"526","FAGR_UCONN_10929","turquoise"
"527","FAGR_UCONN_09298","turquoise"
"528","FAGR_UCONN_32418","turquoise"
"529","FAGR_UCONN_25867","turquoise"
"530","FAGR_UCONN_07211","turquoise"
"531","FAGR_UCONN_20578","turquoise"
"532","FAGR_UCONN_19667","turquoise"
"533","FAGR_UCONN_20967","turquoise"
"534","FAGR_UCONN_15865","turquoise"
"535","FAGR_UCONN_07488","turquoise"
"536","FAGR_UCONN_32006","turquoise"
"537","FAGR_UCONN_31712","turquoise"
"538","FAGR_UCONN_20278","turquoise"
"539","FAGR_UCONN_10991","turquoise"
"540","FAGR_UCONN_25541","turquoise"
"541","FAGR_UCONN_08383","turquoise"
"542","FAGR_UCONN_07355","turquoise"
"543","FAGR_UCONN_30899","turquoise"
"544","FAGR_UCONN_24083","turquoise"
"545","FAGR_UCONN_24689","turquoise"
"546","FAGR_UCONN_25829","turquoise"
"547","FAGR_UCONN_28428","turquoise"
"548","FAGR_UCONN_03525","turquoise"
"549","FAGR_UCONN_12556","turquoise"
"550","FAGR_UCONN_26387","turquoise"
"551","FAGR_UCONN_26824","turquoise"
"552","FAGR_UCONN_25496","turquoise"
"553","FAGR_UCONN_13846","turquoise"
"554","FAGR_UCONN_23436","turquoise"
"555","FAGR_UCONN_25535","turquoise"
"556","FAGR_UCONN_11924","turquoise"
"557","FAGR_UCONN_24966","turquoise"
"558","FAGR_UCONN_13801","turquoise"
"559","FAGR_UCONN_30291","turquoise"
"560","FAGR_UCONN_29759","turquoise"
"561","FAGR_UCONN_32034","turquoise"
"562","FAGR_UCONN_23090","turquoise"
"563","FAGR_UCONN_14734","turquoise"
"564","FAGR_UCONN_13886","turquoise"
"565","FAGR_UCONN_26272","turquoise"
"566","FAGR_UCONN_18405","turquoise"
"567","FAGR_UCONN_16057","turquoise"
"568","FAGR_UCONN_15448","turquoise"
"569","FAGR_UCONN_17128","turquoise"
"570","FAGR_UCONN_28930","turquoise"
"571","FAGR_UCONN_32709","turquoise"
"572","FAGR_UCONN_18188","turquoise"
"573","FAGR_UCONN_29475","turquoise"
"574","FAGR_UCONN_15573","turquoise"
"575","FAGR_UCONN_14371","turquoise"
"576","FAGR_UCONN_31308","turquoise"
"577","FAGR_UCONN_05060","turquoise"
"578","FAGR_UCONN_04163","turquoise"
"579","FAGR_UCONN_16573","turquoise"
"580","FAGR_UCONN_14223","turquoise"
"581","FAGR_UCONN_05911","turquoise"
"582","FAGR_UCONN_03519","turquoise"
"583","FAGR_UCONN_14987","turquoise"
"584","FAGR_UCONN_23887","turquoise"
"585","FAGR_UCONN_04390","turquoise"
"586","FAGR_UCONN_19867","turquoise"
"587","FAGR_UCONN_27435","turquoise"
"588","FAGR_UCONN_21048","turquoise"
"589","FAGR_UCONN_26187","turquoise"
"590","FAGR_UCONN_08811","turquoise"
"591","FAGR_UCONN_02530","turquoise"
"592","FAGR_UCONN_27112","turquoise"
"593","FAGR_UCONN_30295","turquoise"
"594","FAGR_UCONN_16855","turquoise"
"595","FAGR_UCONN_17544","turquoise"
"596","FAGR_UCONN_29869","turquoise"
"597","FAGR_UCONN_17342","turquoise"
"598","FAGR_UCONN_29368","turquoise"
"599","FAGR_UCONN_06957","turquoise"
"600","FAGR_UCONN_02813","turquoise"
"601","FAGR_UCONN_11137","turquoise"
"602","FAGR_UCONN_31285","turquoise"
"603","FAGR_UCONN_16255","turquoise"
"604","FAGR_UCONN_22439","turquoise"
"605","FAGR_UCONN_12987","turquoise"
"606","FAGR_UCONN_09689","turquoise"
"607","FAGR_UCONN_14446","turquoise"
"608","FAGR_UCONN_10265","turquoise"
"609","FAGR_UCONN_20030","turquoise"
"610","FAGR_UCONN_23201","turquoise"
"611","FAGR_UCONN_29216","turquoise"
"612","FAGR_UCONN_17579","turquoise"
"613","FAGR_UCONN_14099","turquoise"
"614","FAGR_UCONN_19154","turquoise"
"615","FAGR_UCONN_18438","turquoise"
"616","FAGR_UCONN_12203","turquoise"
"617","FAGR_UCONN_25094","turquoise"
"618","FAGR_UCONN_29043","turquoise"
"619","FAGR_UCONN_18897","turquoise"
"620","FAGR_UCONN_19568","turquoise"
"621","FAGR_UCONN_18173","turquoise"
"622","FAGR_UCONN_12515","turquoise"
"623","FAGR_UCONN_13294","turquoise"
"624","FAGR_UCONN_20818","turquoise"
"625","FAGR_UCONN_11474","turquoise"
"626","FAGR_UCONN_21592","turquoise"
"627","FAGR_UCONN_18708","turquoise"
"628","FAGR_UCONN_05250","turquoise"
"629","FAGR_UCONN_13775","turquoise"
"630","FAGR_UCONN_06883","turquoise"
"631","FAGR_UCONN_29113","turquoise"
"632","FAGR_UCONN_23583","turquoise"
"633","FAGR_UCONN_18715","turquoise"
"634","FAGR_UCONN_18540","turquoise"
"635","FAGR_UCONN_20411","turquoise"
"636","FAGR_UCONN_23357","turquoise"
"637","FAGR_UCONN_02902","turquoise"
"638","FAGR_UCONN_24984","turquoise"
"639","FAGR_UCONN_07327","turquoise"
