"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_22845",-0.881404719259645,7.03694549976049,35.2905026576951,2.8401367608715e-09,1.35090636876442e-07
"FAGR_UCONN_31438",1.37885275318158,3.82118780338789,35.2832873365815,2.85067838109726e-09,1.35294696323919e-07
"FAGR_UCONN_07443",-1.79796845858019,4.56654123015865,35.2450838165698,2.90715034708503e-09,1.37672971141388e-07
"FAGR_UCONN_30952",1.71945023982655,4.29152716874614,35.2089364131349,2.96161409043334e-09,1.39945965382442e-07
"FAGR_UCONN_10278",2.81409069492391,3.23037179877842,35.1965504070807,2.98051032313101e-09,1.40461637725693e-07
"FAGR_UCONN_18964",2.42785774626159,3.74822989324137,35.1932880285521,2.98550750179368e-09,1.40461637725693e-07
"FAGR_UCONN_12619",-1.21694495320977,6.03497437586502,35.1712367631783,3.01950545880235e-09,1.41753008979177e-07
"FAGR_UCONN_32725",2.65986629397363,1.8507137082709,35.0379908859581,3.23334932478474e-09,1.51463519668812e-07
"FAGR_UCONN_14385",-1.88935574148011,2.88150287723545,34.9783196788449,3.33396902362747e-09,1.55839649264246e-07
"FAGR_UCONN_20448",-1.95627388799928,6.57446545425509,34.9371457405634,3.40522048323047e-09,1.58827115728607e-07
"FAGR_UCONN_22087",0.928049162428641,6.28943095872648,34.921141205594,3.43332610849759e-09,1.59793642236785e-07
"FAGR_UCONN_24841",-0.85421222827223,8.544698156366,34.9049178989414,3.46205301734614e-09,1.60784874251942e-07
"FAGR_UCONN_12272",-1.33065149651724,4.89204931178426,34.8798015745623,3.50700246462491e-09,1.62523655973046e-07
"FAGR_UCONN_15446",-1.61907550396892,6.33871543945763,34.8739357294951,3.51758418485373e-09,1.62665719932915e-07
"FAGR_UCONN_10933",-1.83274704314327,4.30677006184993,34.858589101213,3.54542031036256e-09,1.63603382424022e-07
"FAGR_UCONN_10108",-0.767816632028178,7.98142154215116,34.8520605534425,3.55732874481483e-09,1.63803635521878e-07
"FAGR_UCONN_21254",1.21898470952251,9.46362222150891,34.8119183804621,3.63143572569265e-09,1.66861002070998e-07
"FAGR_UCONN_17235",0.94124489045916,6.2157902552385,34.7792758474613,3.69283581030944e-09,1.69322780946434e-07
"FAGR_UCONN_22757",1.43813992028267,5.64037591618134,34.7570339310314,3.73526697117329e-09,1.70906232114445e-07
"FAGR_UCONN_15203",1.10373505980481,7.70000108035413,34.6475637776804,3.9513276268696e-09,1.8041061709011e-07
"FAGR_UCONN_31613",0.965166677665421,6.32774831301529,34.626643827556,3.99402001989472e-09,1.81785097323984e-07
"FAGR_UCONN_21063",1.76894402778934,4.91454297576616,34.6245927287978,3.9982305852609e-09,1.81785097323984e-07
"FAGR_UCONN_13606",1.20496445443688,6.39183581576717,34.6010020586415,4.04697907974896e-09,1.83615767806975e-07
"FAGR_UCONN_13320",2.26360234937082,3.09593746605735,34.5772105320719,4.09674550206876e-09,1.8548486643467e-07
"FAGR_UCONN_19891",-2.63333118195981,3.78964588228549,34.508046255258,4.24492929713064e-09,1.91792818055326e-07
"FAGR_UCONN_07607",-1.06145350017739,5.92251111275114,34.4878974467298,4.2890990730214e-09,1.93384754454852e-07
"FAGR_UCONN_07359",0.920704577807242,5.26652601867324,34.4768239968102,4.3135697290491e-09,1.94083734045906e-07
"FAGR_UCONN_24141",-2.95794313220847,1.24640089082983,34.4396898760955,4.39665571014503e-09,1.97411665723981e-07
"FAGR_UCONN_10645",0.923249120390348,4.68843838319385,34.2778098792179,4.77798712244666e-09,2.14089435411989e-07
"FAGR_UCONN_29189",-1.2272622257666,5.09734765082551,34.216173995895,4.9317356261911e-09,2.2052194715295e-07
"FAGR_UCONN_24138",-1.57820570447798,4.23926525098235,34.1622476843604,5.07031142752336e-09,2.26250886421568e-07
"FAGR_UCONN_27557",0.894843177203385,6.49301205941134,34.1575082956231,5.08267520253974e-09,2.26335919204455e-07
"FAGR_UCONN_31481",-1.9272826903626,2.73579526773352,34.1180059218024,5.18690778329917e-09,2.30503199684108e-07
"FAGR_UCONN_19403",-1.06023522089397,6.44560085043886,34.104400202474,5.22330182709419e-09,2.31644873241747e-07
"FAGR_UCONN_21605",-1.64428019786886,5.04678175117989,34.0426363589337,5.39175675542319e-09,2.38013980796485e-07
"FAGR_UCONN_30601",0.80178441864628,5.98280965854308,34.0407434983509,5.39700439633658e-09,2.38013980796485e-07
"FAGR_UCONN_19238",-1.07990572819135,6.09848403560637,34.0396960139235,5.3999105706993e-09,2.38013980796485e-07
"FAGR_UCONN_21633",1.51102223160032,5.04787488347188,33.9806926958259,5.56616713139266e-09,2.44843473694309e-07
"FAGR_UCONN_16384",-1.65339931970858,3.85228443909261,33.9666571507809,5.60646473829665e-09,2.46115841513623e-07
"FAGR_UCONN_22424",-1.26255544120259,5.68179981146138,33.9326803264619,5.70522988788595e-09,2.49944504521514e-07
"FAGR_UCONN_19894",-0.843618149959797,7.78560627899851,33.8406122299243,5.98170363638457e-09,2.61527333532596e-07
"FAGR_UCONN_07201",2.38077015826714,3.94866450501985,33.8029900454868,6.0985060200345e-09,2.66096506624166e-07
"FAGR_UCONN_08694",-1.79286708590265,5.27773289679296,33.7824555905886,6.16321836726992e-09,2.6837901791641e-07
"FAGR_UCONN_18397",0.784805566805708,6.16098312554972,33.6951807235233,6.44601852295684e-09,2.80129985690426e-07
"FAGR_UCONN_16606",-1.20155767912513,11.8008531895213,33.6452549026781,6.61360130362257e-09,2.86836792410821e-07
"FAGR_UCONN_15988",1.00673906521746,6.8973580791545,33.6359337034308,6.64536918175773e-09,2.87638159663201e-07
"FAGR_UCONN_27242",-0.956235603225327,6.04154876714292,33.6082010165399,6.74079246174168e-09,2.91186088736554e-07
"FAGR_UCONN_18837",0.975733561168654,7.0320382000079,33.5927370893996,6.79459579598567e-09,2.92925582105024e-07
"FAGR_UCONN_26818",-0.966419015614995,7.36145561487465,33.5823182040633,6.83108831715301e-09,2.93913346639812e-07
"FAGR_UCONN_26063",-1.03151008485417,7.40248689960098,33.5463778419263,6.9584838051047e-09,2.98800608154913e-07
"FAGR_UCONN_22855",-1.60812602013811,5.5049609997924,33.5392082774242,6.98418057354501e-09,2.99310170242893e-07
"FAGR_UCONN_08099",-2.73629060137238,5.11834947788878,33.5122504481443,7.08165478433535e-09,3.02887693364794e-07
"FAGR_UCONN_21956",-1.03488514453026,6.26612092822117,33.4941595924717,7.14783055945779e-09,3.0511508672147e-07
"FAGR_UCONN_05194",-1.34439552068775,5.88784853879952,33.476954615881,7.21134031970892e-09,3.07220132281772e-07
"FAGR_UCONN_14228",4.65576905153652,0.966112160902678,33.4626405420867,7.26460919902034e-09,3.0888147796699e-07
"FAGR_UCONN_29797",-1.27180862807062,14.1559280424737,33.4160470836196,7.4407481181474e-09,3.15750334848914e-07
"FAGR_UCONN_04876",3.68037403639655,2.17265429115619,33.391778122905,7.53418061340683e-09,3.19089504570158e-07
"FAGR_UCONN_12057",1.87840852753592,7.62562540477242,33.3273329630451,7.78802920791509e-09,3.2919634397988e-07
"FAGR_UCONN_30583",-1.1432663059459,6.68414400714749,33.3231648507694,7.80473922920496e-09,3.29259583622717e-07
"FAGR_UCONN_30872",-1.04813343828712,4.70932004125252,33.3113894196863,7.85214137381995e-09,3.30614870840878e-07
"FAGR_UCONN_08949",-0.995249899695239,9.77179200463716,33.2626138496828,8.0515784755879e-09,3.38353905570239e-07
"FAGR_UCONN_21049",-0.970933763706441,5.90549304499592,33.2090824643963,8.27630597323383e-09,3.47123670295982e-07
"FAGR_UCONN_26404",0.835552385968178,7.84105732781345,33.1885848898344,8.36400969271192e-09,3.50106041133837e-07
"FAGR_UCONN_29962",0.920468950181895,6.93852012884514,33.1849248848736,8.37976754954846e-09,3.50106041133837e-07
"FAGR_UCONN_32584",1.12934597246088,5.08547025149433,33.1349249348615,8.59803987985795e-09,3.58533293024828e-07
"FAGR_UCONN_26501",0.730447475483089,6.43188324266396,33.0760637162706,8.8623045991741e-09,3.684418921614e-07
"FAGR_UCONN_02519",-1.36218220879638,5.90007044594404,33.0744400873791,8.86970824397419e-09,3.684418921614e-07
"FAGR_UCONN_21878",-0.759629010939828,6.92787733055382,33.0474110231839,8.99387299388316e-09,3.72883906769386e-07
"FAGR_UCONN_16296",-1.82096775584936,5.42611634090127,33.0412333849778,9.02249505467401e-09,3.73355330732801e-07
"FAGR_UCONN_13191",1.59383923231981,7.05600581098076,33.0184234710146,9.12896988203924e-09,3.77040393486819e-07
"FAGR_UCONN_31101",-1.48997077963519,3.98622431375914,32.9841816366172,9.29117531275602e-09,3.82688188788175e-07
"FAGR_UCONN_26878",0.870662323015012,5.75977669611506,32.9821100452998,9.30108064423714e-09,3.82688188788175e-07
"FAGR_UCONN_10581",0.900250396268228,5.3777046157993,32.9699519155171,9.35942840797927e-09,3.84358158644189e-07
"FAGR_UCONN_29712",1.08948713614317,5.85263152723057,32.9386599097732,9.51129263609169e-09,3.89854915208895e-07
"FAGR_UCONN_02194",1.05999063134674,5.69224254008965,32.9148941505671,9.62827787838287e-09,3.93903950555694e-07
"FAGR_UCONN_06683",-1.2185051975316,8.09830998628512,32.8654378074935,9.87636373479234e-09,4.03291064053539e-07
"FAGR_UCONN_27960",-1.54494171083952,2.98884716003147,32.8587284101061,9.91050939968658e-09,4.0392324751039e-07
"FAGR_UCONN_29322",1.13187932699741,6.68579139464064,32.7990474395034,1.02194909593169e-08,4.15733502521684e-07
"FAGR_UCONN_17670",-0.986967007003389,7.93772110168567,32.7949630468691,1.02409861516664e-08,4.15826308244587e-07
"FAGR_UCONN_09819",-2.28597829533592,3.97608473923434,32.773111197018,1.03567588476678e-08,4.19739653522896e-07
"FAGR_UCONN_06973",-1.11093991320916,5.61305829039438,32.7527029226574,1.04660669276495e-08,4.23376860650822e-07
"FAGR_UCONN_21137",-4.54165375005813,0.235065514212425,32.7414049331041,1.0527075845502e-08,4.25050327329018e-07
"FAGR_UCONN_15494",2.59251844219561,4.3840536329006,32.7073348112871,1.0713218997265e-08,4.31760680705416e-07
"FAGR_UCONN_31985",-1.12879480772758,4.89453412188504,32.6407141290665,1.10867829187877e-08,4.45985419941271e-07
"FAGR_UCONN_17412",0.894084069215882,5.1501656992421,32.6141517298726,1.1239339964102e-08,4.51283479597579e-07
"FAGR_UCONN_09230",-4.27530179140031,2.33796591905714,32.5783194132296,1.14484740346883e-08,4.58829398256899e-07
"FAGR_UCONN_13563",-0.787936903206474,8.13052316478617,32.5688560365277,1.15043543856469e-08,4.60216705386636e-07
"FAGR_UCONN_14480",-1.41948992595776,4.37937003594194,32.545909070182,1.16409910792958e-08,4.64823485125683e-07
"FAGR_UCONN_10280",-2.5251904207132,2.2313880742612,32.5323208324827,1.17226666518184e-08,4.67222747106176e-07
"FAGR_UCONN_29528",1.55668715339401,5.59624073881158,32.4965131147961,1.19406578497338e-08,4.75036244823418e-07
"FAGR_UCONN_12939",1.13587745123212,4.42105624205528,32.4569459846186,1.21862609220043e-08,4.8391753921838e-07
"FAGR_UCONN_03240",-1.51621475697784,4.10312425390753,32.4077380920037,1.24987779935238e-08,4.95418595853189e-07
"FAGR_UCONN_17274",1.20044442835046,8.13150607339566,32.3915734332817,1.26031807125877e-08,4.98643577663295e-07
"FAGR_UCONN_15704",0.977117369409177,6.07248132840672,32.3737655147919,1.27192082561524e-08,5.02315885181843e-07
