Gene_ID,S191Fg02,S191Fg04,S191Fg06,S191Fg07,S191Fg08,S191Fg10,S191Fg20,S191Fg23,S191Fg25,S191Fg27,S191Fg29,S191Fg42,S201Fg02,S201Fg04,S201Fg06,S201Fg07,S201Fg08,S201Fg10,S201Fg20,S201Fg23,S201Fg25,S201Fg27,S201Fg29,S201Fg42
FAGR_UCONN_28978,8.982626847,8.715528307,7.817048068,8.344163976,8.903002787,8.308684269,8.470563492,8.533658831,8.414517744,8.34581774,8.689954252,8.830502224,7.707141505,7.61193204,8.204145981,7.342540182,8.292270132,7.027394216,7.356845684,7.580379084,7.400198953,6.988721175,7.217407331,6.996562818
FAGR_UCONN_28995,7.323050863,7.77292644,6.632421153,6.54674707,7.040411169,6.093221312,7.007660241,6.974116386,6.833570421,7.397452827,6.498129573,6.68933886,5.61971287,6.224992461,5.402370614,5.370022696,6.527512118,5.151557299,5.438929956,6.145147616,5.623934694,5.970287167,5.790300477,4.898481406
FAGR_UCONN_29015,6.870668279,5.950107897,5.381077472,6.210980522,5.437307089,6.964294507,5.967071193,6.50808458,5.614144296,5.848182943,7.013293599,6.262160211,5.575149739,5.797152926,4.797948769,5.321946386,5.485855803,4.942070013,5.287945905,5.531311574,4.86890959,5.071943203,5.230859448,5.315555018
FAGR_UCONN_29016,7.951334409,8.590432569,8.291023768,7.719015189,8.136725789,8.164611486,8.244805966,8.488363434,8.291239467,8.26335387,8.856370219,8.869602991,7.1719057,7.202803828,7.777816364,6.134161626,7.775091272,7.244714011,7.249614078,7.439775603,6.265723832,6.961048601,6.990694373,6.863881189
FAGR_UCONN_29022,5.811566254,5.875071343,5.497688136,6.203829715,6.038618493,5.549361464,5.979337364,5.979632566,5.578429549,5.91047416,5.910954881,5.847566429,5.942047411,6.256112092,6.205686993,6.330110168,6.133422253,6.282506233,6.218069066,6.19032258,6.099524185,6.119238211,6.346991803,6.240208938
FAGR_UCONN_29024,0.951255158,1.566388816,2.16538109,0.944152954,1.023745888,1.575435367,0.639494431,1.492434635,2.093584303,1.494496185,1.604154276,1.605883236,0.112610285,1.023153766,-0.125982822,-1.045752496,0.196988208,-0.425557404,-1.236177454,0.952067833,-0.194470107,-0.321211248,0.096256723,-0.266540001
FAGR_UCONN_29030,1.526472366,1.769455016,2.16538109,1.306528949,1.744672056,-1.092233709,1.707970376,1.264298402,1.183942278,0.97848331,0.018653339,0.938198765,-0.982919135,-0.924696164,-0.599083337,-0.529238257,0.522506902,-1.347267881,0.027188062,-0.203759078,0.301835516,-0.321211248,-1.361533175,-0.715173011
FAGR_UCONN_29031,0.762766567,-0.466953672,2.375043131,1.908961463,0.672524338,0.068391273,1.136678859,-0.163010593,1.618430905,-1.857971539,-0.441081239,-0.166558806,3.097466322,4.06277968,4.544388217,4.415300539,2.568936117,3.718609315,2.287902728,1.527329497,2.560065662,1.818839511,1.78592427,1.759738375
FAGR_UCONN_29033,7.812334485,7.937389844,7.680618403,8.409336488,8.817080613,7.06346887,7.957959426,8.492765234,8.424610196,8.279179173,8.139813728,7.628835284,7.038126448,6.237041121,5.846442306,6.954631572,7.949478767,6.306197953,6.274557755,7.119158406,7.264258162,6.819485641,7.95132283,6.719271578
FAGR_UCONN_29040,4.989683041,4.557805689,3.973838668,3.917395373,4.387118477,4.67701373,4.355163787,4.382139997,4.021896652,4.106109898,4.519995565,4.762098627,3.939868758,3.961849792,3.967928513,3.914695964,3.88588469,3.853361921,3.877073849,3.91517642,3.84693156,3.882935932,3.907416038,4.063252276
FAGR_UCONN_29049,-1.857971539,-0.078100505,-0.032789949,-0.639063963,-1.857971539,0.312337041,0.426672624,-1.537624065,-0.566859729,-0.84092533,0.729460834,-0.166558806,1.001115487,1.411250411,1.688062163,2.281990979,1.11224301,1.782199701,1.764319183,0.860890793,1.653705562,1.247319194,1.345939185,2.018955825
FAGR_UCONN_29053,5.616455334,4.443735944,5.085583808,5.651657711,4.934976888,4.466245797,3.898315663,4.630051011,4.189096911,5.129847955,3.28786597,4.077550908,5.235178084,5.28239199,6.777103285,6.149075629,5.133128706,6.26502819,4.976757252,5.531311574,5.03600619,5.895985387,4.832318573,5.355248347
FAGR_UCONN_29055,0.290560591,-0.078100505,0.747767443,0.79985497,1.305983955,0.520938414,0.307199241,1.089328738,-0.566859729,0.491134643,1.083205078,-0.34291172,1.85287161,1.873177766,2.086464859,2.047411923,2.254936153,2.20514845,2.373152846,2.604449265,2.036768978,2.492137217,2.514623615,1.556801902
FAGR_UCONN_29059,3.90287078,2.979205794,3.232276784,3.606382351,2.868918468,4.027599497,3.381891276,3.649981413,2.974723517,3.219300479,2.917472997,3.184648142,5.153596412,5.273060128,5.030599043,5.437526054,4.631874175,4.914309471,4.956181855,5.027776375,5.209254569,5.407637436,4.958597712,5.319573858
FAGR_UCONN_29060,2.929234941,2.979205794,3.120324453,3.627913469,2.58187608,1.908020106,2.005326371,2.382453451,2.340993126,3.384469539,2.514082363,2.348843868,4.103292711,3.694624642,4.63643124,4.401131757,2.766416202,4.138919928,3.604833544,3.542301832,4.446583219,4.219907633,3.896481069,3.994531697
FAGR_UCONN_29082,4.989683041,4.611627488,5.115091932,4.258408879,4.293257493,4.812110523,4.597234614,4.778043594,4.550326142,4.982977617,4.859209125,4.618965174,5.417098691,5.258948171,5.225960219,5.398831043,5.109073364,5.19834832,5.597907778,5.688727328,5.499773034,5.425355543,5.641062919,5.4315017
FAGR_UCONN_29088,1.746068284,2.553655121,1.624110579,3.421483502,2.684035361,2.601930821,0.735184011,0.383706584,2.736257607,2.173826652,1.20353021,-0.777406599,4.160099862,4.606733041,4.462928991,5.026700576,2.496608241,4.284812908,4.225447349,3.721443647,7.427519583,4.127680331,4.416199485,3.953741256
FAGR_UCONN_29095,3.098337889,2.709872682,2.558066158,3.730997588,3.652733722,3.806425732,3.013320432,3.029192689,2.974723517,2.633829981,3.129791422,3.294243776,4.437915792,4.569101684,4.376593618,4.702054095,3.798334732,4.567437172,4.292636564,3.734344719,3.858873831,3.830707717,3.896481069,4.072807642
FAGR_UCONN_29101,4.705340396,4.01494575,4.634251198,4.755595295,4.892929942,4.751325806,4.653430585,4.799522148,4.777307918,4.943798786,4.779168018,4.887315658,4.284548869,4.094912598,4.08144799,4.118956466,4.332771392,4.195372676,4.649466741,4.448900988,4.139038195,4.472577035,4.279793987,4.251717017
FAGR_UCONN_29108,6.457736025,5.649220298,5.519920427,5.979348753,5.331098247,5.789977582,5.349193566,5.589480459,5.285412451,5.375366265,5.576820443,5.781881427,6.374928319,6.26319921,6.533535702,6.103862969,5.992606057,6.119447226,6.381303589,6.574408039,5.21855312,6.281734383,6.190168951,6.208051643
FAGR_UCONN_29113,1.746068284,0.694875088,2.558066158,2.700967505,2.08060662,1.26348034,1.205123103,0.594982928,1.951905028,1.342119973,1.729707589,1.653673346,-0.982919135,-0.616491473,-1.857971539,0.508702042,0.001772935,-1.857971539,0.027188062,-0.663564227,0.301835516,0.713389267,-0.992881698,-1.369768715
FAGR_UCONN_29116,2.255594049,5.801717071,5.381077472,6.92275244,5.331098247,4.860878559,4.477816214,4.253163329,4.474631058,5.175660088,4.448735076,5.915300324,5.599316173,6.129978005,8.769305413,7.210646375,4.995566466,6.848264669,5.119293696,4.625482258,6.604016739,6.211989742,5.624591164,6.791941897
FAGR_UCONN_29127,3.541376411,1.94743361,2.16538109,2.433915993,1.541938444,2.40553034,2.893992464,2.915756478,2.736257607,2.982079875,2.863697627,2.877652101,4.196765484,3.762882976,3.75173009,3.734317622,3.552947943,3.305087724,3.877073849,3.857381502,3.495645882,4.153423565,4.081650038,3.509037542
FAGR_UCONN_29134,7.447663114,8.405691838,7.52992672,7.015520683,8.412603852,7.461515483,8.171328927,9.328406541,8.694419813,6.830474721,9.232232263,8.536381492,6.644149718,5.613408271,5.16029228,2.612271476,7.853199309,4.833611868,6.622368666,7.455443087,3.433118462,4.29892306,6.199096068,4.57451432
FAGR_UCONN_29135,4.22860859,3.953747145,4.097257222,5.295838559,3.796509565,4.361683517,3.813165122,3.642077169,2.820202786,4.082254,4.334775807,3.754945749,4.888133259,4.553769928,5.981270517,6.190856694,4.631874175,5.639218502,4.408234958,4.368430182,5.548516553,5.393304591,4.361585231,5.036725667
