,SITE,YEAR,TREE_ID,BAND_NUM,UNIQUE_ID,SP,L,K,doyip,r,theta,a,b,r.squared,ts.sd,alt.a,WD,RGR,GR,Max.growth.day,Max.growth.rate,Size.a,Size.alt.a,Start.g,Stop.g,Median.g,DOY.05,DOY.95,DOY.10,DOY.90,GS_Length,GS.90,GS.80,growth,snp.sample.ID
89,HF,2017,121716,1,HF1217161,FAGR,48.19507832,48.24349764,199.6086251,0.140139447,5.970065527,48.19535328,48.24349764,0.972919907,0.022078834,-99,NA,0.000998443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048144357,HFg25
90,HF,2018,121716,1,HF1217161,FAGR,48.28786775,48.34940589,183.3474529,0.099760934,1.516173995,48.28849197,48.34940589,0.987587733,0.027962997,48.24349764,NA,0.001260663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06091392,HFg25
91,HF,2017,141939,1,HF1419391,FAGR,38.49924685,38.54658778,203.8209921,0.102227909,3.298519827,38.49987511,38.54658778,0.991028107,0.020686656,-99,NA,0.001212585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046712676,HFg24
92,HF,2018,141939,1,HF1419391,FAGR,38.57449267,38.71160474,178.0114392,0.085505284,0.903368703,38.57690231,38.71160474,0.993506209,0.059502247,38.54658778,NA,0.003485707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134702427,HFg24
93,HF,2017,150496,1,HF1504961,FAGR,20.29197233,20.48473081,216.4008008,0.082016155,23.13559711,20.29937176,20.48473081,0.996422164,0.074975689,-99,NA,0.009089832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185359054,HFg14
94,HF,2018,150496,1,HF1504961,FAGR,20.52347307,20.78504195,182.2926621,0.066128231,1.520473909,20.5289341,20.78504195,0.997430212,0.107279654,20.48473081,NA,0.01239828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256107849,HFg14
95,HF,2017,211039,1,HF2110391,FAGR,50.39849418,50.43923452,216.029544,0.083090924,11.53189569,50.39914431,50.43923452,0.972777863,0.01702573,-99,NA,0.000795138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040090214,HFg38
96,HF,2018,211039,1,HF2110391,FAGR,NA,NA,NA,NA,NA,NA,NA,-99,0.002471815,50.43923452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HFg38
97,HF,2017,220932,1,HF2209321,FAGR,29.7998718,29.80987567,185.9900047,0.026841195,1.295025256,29.8,29.80987567,0.812502051,0.002638171,-99,NA,0.000331343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009875665,HFg37
98,HF,2018,220932,1,HF2209321,FAGR,29.82498624,29.85651307,251.1068214,0.055123075,24.73317149,29.82623024,29.85651307,0.986632121,0.01211744,29.80987567,NA,0.001014794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030282839,HFg37
99,HF,2017,241504,1,HF2415041,FAGR,18.09836695,18.17868467,198.3283317,0.104867869,20.58479859,18.1,18.17868467,0.993839696,0.030243402,-99,NA,0.004337798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078684675,HFg36
100,HF,2018,241504,1,HF2415041,FAGR,18.18581714,18.28468846,183.2322409,0.100113893,5.173116159,18.18693125,18.28468846,0.99569874,0.043153731,18.17868467,NA,0.00536074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097757205,HFg36
101,HF,2017,260845,1,HF2608451,FAGR,7.299617989,7.342778912,194.1170474,0.106008472,3.681059858,7.300179288,7.342778912,0.996634195,0.018078785,-99,NA,0.005818461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042599623,HFg28
102,HF,2018,260845,1,HF2608451,FAGR,7.350924214,7.459892811,178.0164939,0.068687431,0.860983125,7.352255032,7.459892811,0.994249252,0.045208503,7.342778912,NA,0.014533972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107637779,HFg28
103,HF,2017,271124,1,HF2711241,FAGR,24.89936476,24.90714547,159.0013324,0.056356043,0.982372553,24.89936476,24.90714547,0.752173064,0.002409758,-99,NA,0.000312437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007780705,HFg29
104,HF,2018,271124,1,HF2711241,FAGR,24.9167655,24.95858086,189.1319401,0.06856506,1.089913336,24.91763522,24.95858086,0.990453974,0.017287712,24.90714547,NA,0.001641891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040945645,HFg29
105,HF,2017,281050,1,HF2810501,FAGR,40.29649947,40.4128472,192.8215708,0.097976065,3.19855967,40.29824928,40.4128472,0.995791392,0.047560546,-99,NA,0.002839708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114597912,HFg30
106,HF,2018,281050,1,HF2810501,FAGR,40.45779496,40.65341885,192.9955351,0.08601198,3.408230558,40.45918777,40.65341885,0.996010486,0.085251507,40.4128472,NA,0.00478918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194231083,HFg30
107,HF,2017,281525,1,HF2815251,FAGR,37.89033437,37.90191167,122.0003369,0.007512754,0.972325081,37.89141293,37.90191167,0.308230195,0.003148853,-99,NA,0.000277036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010498748,HFg32
108,HF,2018,281525,1,HF2815251,FAGR,38.22250261,38.25817285,182.9597162,0.033642639,1.514589032,38.22982076,38.25817285,0.926195435,0.012967051,37.90191167,NA,0.000741348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028352093,HFg32
109,HF,2017,30156,1,HF301561,FAGR,10.3968208,10.5304071,175.9057541,0.087460186,0.544981069,10.4,10.5304071,0.99761836,0.054699812,-99,NA,0.01246118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1304071,HFg01
110,HF,2018,30156,1,HF301561,FAGR,10.54991324,10.7384078,181.8171204,0.076425832,0.797035685,10.55012067,10.7384078,0.998168365,0.078894669,10.5304071,NA,0.01768953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188287123,HFg01
111,HF,2017,31078,1,HF310781,FAGR,NA,NA,NA,NA,NA,NA,NA,-99,0.053308952,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HFg40
112,HF,2018,31078,1,HF310781,FAGR,26.88108802,27.21781576,182.8281821,0.080470048,1.689452711,26.88398867,27.21781576,0.993568434,0.145329021,NA,NA,0.012340858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333827096,HFg40
113,HF,2017,321651,1,HF3216511,FAGR,14.59891898,14.75914304,208.5236866,0.067919804,1.295434997,14.60128388,14.75914304,0.998178235,0.065595284,-99,NA,0.010753296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157859156,HFg43
114,HF,2018,321651,1,HF3216511,FAGR,14.76202344,14.9776049,177.6701402,0.053666674,1.145157124,14.76902338,14.9776049,0.996827326,0.082857325,14.75914304,NA,0.014024107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208581523,HFg43
115,HF,2017,331632,1,HF3316321,FAGR,62.19847621,62.24962408,185.9971664,0.081717941,1.599482389,62.20099068,62.24962408,0.961923308,0.020755914,-99,NA,0.000781569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048633394,HFg42
116,HF,2018,331632,1,HF3316321,FAGR,62.31872616,62.41790367,153.9509552,0.052924054,0.237089885,62.32585243,62.41790367,0.974412105,0.038355962,62.24962408,NA,0.001475846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092051239,HFg42
117,HF,2017,341026,1,HF3410261,FAGR,7.797176484,7.916117679,198.8861332,0.069020754,2.424468852,7.799985894,7.916117679,0.995636304,0.046546518,-99,NA,0.014778968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116131785,HFg46
118,HF,2018,341026,1,HF3410261,FAGR,7.934396238,8.026370157,189.9426215,0.060945923,1.717235109,7.934396238,8.026370157,0.992979515,0.036934658,7.916117679,NA,0.011525128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091973919,HFg46
119,HF,2017,351005,1,HF3510051,FAGR,11.80001241,11.90262189,193.4606469,0.104264632,4.704387181,11.80026795,11.90262189,0.994875339,0.041944418,-99,NA,0.008636464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102353942,HFg35
120,HF,2018,351005,1,HF3510051,FAGR,11.91110966,12.0030499,163.7982058,0.079299492,0.404762623,11.91347229,12.0030499,0.992025163,0.039187531,11.90262189,NA,0.007490891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089577616,HFg35
121,HF,2017,60850,1,HF608501,FAGR,5.795302769,5.916563076,189.1515629,0.0712088,2.241763524,5.799999287,5.916563076,0.998501324,0.04590587,-99,NA,0.019897924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116563789,HFg09
122,HF,2018,60850,1,HF608501,FAGR,5.920924669,6.13520574,191.552357,0.055398792,1.406357822,5.925389554,6.13520574,0.997577456,0.083119246,5.916563076,NA,0.034797181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209816186,HFg09
123,HF,2017,81091,1,HF810911,FAGR,30.27788576,30.76178646,201.6498032,0.050017172,2.278558073,30.3,30.76071449,0.996329392,0.171312802,-99,NA,0.01509066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.460714489,HFg08
124,HF,2018,81091,1,HF810911,FAGR,30.75715772,31.4230183,205.0876901,0.04851282,3.363864052,30.78878599,31.4230183,0.997080335,0.247858869,30.76071449,NA,0.020390159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.634232306,HFg08
125,HF,2017,81099,1,HF810991,FAGR,6.792684195,6.944524861,197.7902284,0.064673386,3.141737833,6.800005617,6.944524861,0.994512276,0.056664487,-99,NA,0.021030121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144519244,HFg07
126,HF,2018,81099,1,HF810991,FAGR,6.965709675,7.120299995,189.783248,0.062103139,1.265011826,6.967695283,7.120299995,0.996538413,0.062206126,6.944524861,NA,0.021665351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152604713,HFg07
