"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_22302",-0.726830227725927,3.60573943610521,17.7329232327099,2.54188995247114e-05,0.000357915304823555
"FAGR_UCONN_21254",0.3612335955692,9.04745189008904,17.7056789907167,2.57855632290903e-05,0.000362842106244456
"FAGR_UCONN_14651",-0.51725682663646,3.91706125497934,17.7012540872589,2.5845615010285e-05,0.000363450812249895
"FAGR_UCONN_11121",-0.618031498922973,3.4956204429465,17.6962185382386,2.59141250366445e-05,0.000364177593534454
"FAGR_UCONN_12343",-1.07382082890889,3.03716453697934,17.6935468864323,2.59505476542511e-05,0.000364452791909995
"FAGR_UCONN_12931",-0.316502081599661,6.41283119850127,17.6884704221236,2.60198968641384e-05,0.000365189758711857
"FAGR_UCONN_32541",-0.525485263062397,6.68543678897251,17.6860255267485,2.60533628131618e-05,0.000365422474402105
"FAGR_UCONN_13245",0.438710742334801,4.24571753721307,17.6736596580006,2.62232917102322e-05,0.000367567667871013
"FAGR_UCONN_25547",-0.8953905095274,3.47152331890158,17.6686959415338,2.62918147949127e-05,0.00036828961539903
"FAGR_UCONN_21159",0.426878455310074,8.72691738992468,17.658655998888,2.64309646515083e-05,0.000369999312411347
"FAGR_UCONN_22632",-0.349321500247597,7.36708069046619,17.6343774473898,2.67705226131626e-05,0.000374510439815168
"FAGR_UCONN_10074",-1.22450344686084,0.841352872495903,17.6270901880037,2.6873294460976e-05,0.000375705322173412
"FAGR_UCONN_01620",-0.427927985964457,4.54154845211915,17.6203807804272,2.69682674159397e-05,0.000376693808517383
"FAGR_UCONN_17995",0.697385539025118,3.51916931880117,17.6196374685519,2.69788098697876e-05,0.000376693808517383
"FAGR_UCONN_14185",0.493301952979854,4.1126092721651,17.6142618848019,2.70551755935058e-05,0.000377516512053289
"FAGR_UCONN_21197",-0.383797074390648,5.51361628198099,17.6105450546711,2.71081039874797e-05,0.000378011331505821
"FAGR_UCONN_03444",-0.834503589953146,10.4066448510047,17.6050577301843,2.71864348311623e-05,0.000378859512309089
"FAGR_UCONN_14847",0.40532350586436,5.78513963044233,17.5949875293798,2.7330777836686e-05,0.000380625929177322
"FAGR_UCONN_03562",-1.06904754500488,1.37704622831639,17.5899303043022,2.74035567037205e-05,0.000381214137319329
"FAGR_UCONN_09015",-0.491512226223553,6.1865721700162,17.589605119187,2.74082431230421e-05,0.000381214137319329
"FAGR_UCONN_26147",1.29962220822569,-0.0896818994953051,17.5876652786658,2.74362159549567e-05,0.000381358115412443
"FAGR_UCONN_18734",0.282386595498365,6.73551226094596,17.5856654517719,2.74650838341424e-05,0.000381514341680686
"FAGR_UCONN_20071",0.394285704158396,6.81523182928051,17.5735850118752,2.76401175183842e-05,0.000383699437673426
"FAGR_UCONN_20889",-0.914972371584455,6.66535713612105,17.5715223190383,2.76701157506776e-05,0.000383869644279592
"FAGR_UCONN_16503",-0.577264148850224,6.7435849770005,17.5542749551973,2.79222322239683e-05,0.000387119122223653
"FAGR_UCONN_26312",0.684914149740967,4.81043379800925,17.5398164570074,2.81353598502032e-05,0.000389721479286984
"FAGR_UCONN_27040",0.377557690414056,5.95325616125091,17.5391008290608,2.81459510269641e-05,0.000389721479286984
"FAGR_UCONN_08719",0.40145333255873,4.39195916211581,17.5339529091123,2.82222575679916e-05,0.000390427796159334
"FAGR_UCONN_17702",-1.29638451781498,1.59688619948722,17.5332264612277,2.82330422784104e-05,0.000390427796159334
"FAGR_UCONN_31532",-0.487538468909059,4.23458584080988,17.5191841957842,2.84423268279038e-05,0.000393070777272984
"FAGR_UCONN_18250",-0.374090693621977,5.41111928901801,17.4924673687651,2.88448264748908e-05,0.000398378898895715
