"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_32061",2.3855412369274,-0.550412558043503,15.056517649935,0.000104339335404479,0.000391286067722012
"FAGR_UCONN_00809",-1.57297681373463,2.9691724662553,15.0553403958272,0.00010440443421614,0.000391462364051579
"FAGR_UCONN_22808",2.28860699161342,-0.386844405316929,15.0541954888861,0.000104467783528681,0.000391632040728862
"FAGR_UCONN_22673",0.369776763485002,5.13882047711294,15.0536779636808,0.000104496431620815,0.000391671592161013
"FAGR_UCONN_06961",-0.497691984698919,6.19431043042223,15.0469804245605,0.000104867894223935,0.000392995838405956
"FAGR_UCONN_16505",1.11518679474102,2.47110453987857,15.041232951609,0.000105187723128789,0.000394025034239905
"FAGR_UCONN_19176",0.413421543553599,6.7101122481655,15.0412269096845,0.000105188059859015,0.000394025034239905
"FAGR_UCONN_14543",-0.50035306266964,5.54196870039693,15.0410638734128,0.000105197146651796,0.000394025034239905
"FAGR_UCONN_29707",0.508576256272183,7.41698406533092,15.0393195648816,0.000105294414781478,0.000394321115193068
"FAGR_UCONN_21131",-1.02265545830774,6.88789743187902,15.0314245497904,0.000105735798902228,0.000395905563986507
"FAGR_UCONN_03151",2.84745439941104,1.0020375131686,15.0284709395906,0.000105901403683137,0.000396457045236196
"FAGR_UCONN_27186",2.45871899574498,-0.42820581891883,15.0254515249307,0.000106070967864675,0.00039702315574668
"FAGR_UCONN_25940",-0.873969177035978,2.75791934680474,15.0229210490566,0.000106213284681168,0.000397487101343565
"FAGR_UCONN_01411",-1.3969982520206,1.85986886108452,15.0181364192016,0.000106482903094079,0.000398427211058448
"FAGR_UCONN_24576",-0.799514864503298,3.15430166561275,15.0171666420294,0.000106537634854951,0.000398563093090899
"FAGR_UCONN_01885",-1.6171004642908,-0.165355435200206,15.0167849788059,0.00010655918272141,0.000398574806853917
"FAGR_UCONN_19251",-0.41022584803914,7.77367966681043,15.016237495085,0.000106590100107618,0.000398621556338183
"FAGR_UCONN_20207",0.573410717654108,3.5242765700018,15.0138018967256,0.000106727752168065,0.000399067382933873
"FAGR_UCONN_14810",0.835779320925131,3.51397741632445,15.0125166148878,0.000106800464201292,0.000399270279192324
"FAGR_UCONN_09965",-0.94686696651229,2.21007564228006,15.0092234197984,0.000106986997186474,0.00039989854803276
"FAGR_UCONN_03239",-0.953098931034527,3.68760785650468,15.0031223234884,0.000107333442053099,0.000401124219118143
"FAGR_UCONN_05242",-1.35327978974228,0.982586671332144,15.0001414622298,0.000107503117752086,0.000401635646575282
"FAGR_UCONN_21267",-0.464133294126049,6.05435975756196,15.0000661715017,0.000107507406922216,0.000401635646575282
"FAGR_UCONN_16627",-0.513535807724697,5.81903939832942,14.9971313685415,0.000107674731359915,0.000402191324834532
"FAGR_UCONN_16059",-0.464217128377359,4.89095726899491,14.9958842527353,0.000107745913574181,0.000402387758683765
"FAGR_UCONN_05743",-1.22451053873001,6.13800003475292,14.9900623703444,0.000108078839025645,0.000403561462076089
"FAGR_UCONN_21399",-0.827767212657075,3.35894699950233,14.9875042680296,0.000108225451821874,0.000404039197572711
"FAGR_UCONN_32009",1.40786437335008,6.36488530750094,14.9858255018698,0.000108321775899214,0.000404329057262986
"FAGR_UCONN_22082",-0.56246525998102,6.02007659620473,14.9848556369678,0.000108377464030637,0.000404467162709266
"FAGR_UCONN_00855",0.810278792098422,5.39377559630222,14.9820748753043,0.000108537290829296,0.000404993801401314
"FAGR_UCONN_29315",1.61836710310204,1.36692969646115,14.9764364704543,0.000108862091807896,0.000406135733650488
"FAGR_UCONN_31136",2.10126090354322,0.260765418614345,14.971499985211,0.000109147261715525,0.000407129444682418
"FAGR_UCONN_23750",-1.16801206006846,3.30224149550063,14.9665833579991,0.000109432031806752,0.000408121322137124
"FAGR_UCONN_15244",2.39974429150511,-0.718230395389616,14.9653321812634,0.000109504619005884,0.000408321668594992
"FAGR_UCONN_28297",1.12964291889128,2.5450009075758,14.959874281998,0.000109821827017126,0.000409433932869017
"FAGR_UCONN_20270",0.537686662240561,7.37471772069071,14.9578004669276,0.00010994259753545,0.00040981358867761
"FAGR_UCONN_31816",0.609353463548535,3.35105587657009,14.9560546261033,0.000110044371802073,0.000410088743131814
"FAGR_UCONN_23291",0.942484094343275,3.58028727653111,14.9558841987297,0.000110054311991016,0.000410088743131814
"FAGR_UCONN_22610",-0.69145980761247,2.71737582633441,14.9555531524544,0.000110073622871754,0.000410090092303408
"FAGR_UCONN_15390",0.82914130596425,6.26890898176143,14.9543993225707,0.000110140955747514,0.000410211240198515
"FAGR_UCONN_20843",0.59568306512637,5.7929543761346,14.9543463264259,0.000110144049385157,0.000410211240198515
"FAGR_UCONN_32943",-0.468192600534238,5.51275272052443,14.9533424277283,0.000110202668260981,0.000410358937801816
"FAGR_UCONN_12824",0.492775939812847,5.53196540194372,14.9524154266028,0.000110256824877045,0.000410489971441426
"FAGR_UCONN_18002",-0.947683195366428,2.83350780099993,14.944951649559,0.000110693845722186,0.000412003658308561
"FAGR_UCONN_17753",-0.7290833690257,5.64652660818943,14.9448216529642,0.000110701472741165,0.000412003658308561
"FAGR_UCONN_13534",-0.436443415692354,5.97772975707216,14.9400532592306,0.000110981604599548,0.000412975221241989
"FAGR_UCONN_28970",-0.588313684691868,10.7239536071409,14.9386335274607,0.000111065148245132,0.000413215048705716
"FAGR_UCONN_18140",0.67068005182746,3.57775459444787,14.9349800657067,0.000111280426138114,0.000413944823389663
"FAGR_UCONN_17103",-0.453782370713947,5.92662729278359,14.9344591922744,0.000111311152459922,0.000413987963831866
"FAGR_UCONN_06256",2.18383494168387,-0.186492237496789,14.933944047705,0.000111341549235031,0.000414029864011091
"FAGR_UCONN_21830",0.698259174692994,5.23792630428699,14.9239870802144,0.000111930717205737,0.000416149215215008
"FAGR_UCONN_20107",1.7113649296104,1.1954177444259,14.9202585215278,0.000112152148001593,0.000416900856587166
"FAGR_UCONN_01527",2.20766663453553,-0.156017892506221,14.9196226083051,0.000112189957459267,0.000416969785219553
"FAGR_UCONN_12406",-0.764399443496304,2.94736370862576,14.915251126464,0.000112450219890031,0.000417865326040529
"FAGR_UCONN_15787",3.82433466074671,-1.02605885029164,14.9129922146304,0.000112584945500446,0.000418294144295392
"FAGR_UCONN_01667",-0.641973317282577,6.66197154840111,14.904881112682,0.000113070046836276,0.00042002436553908
"FAGR_UCONN_14126",0.706212558469143,4.27938055992733,14.9005463151628,0.000113330160481055,0.00042085290070547
"FAGR_UCONN_19996",0.597715191157897,3.75999651996932,14.9005160326355,0.000113331979729761,0.00042085290070547
"FAGR_UCONN_30171",0.890432814651361,3.9939354553288,14.8983175323985,0.000113464135073043,0.00042126828636866
"FAGR_UCONN_16277",-0.70610287696336,4.70875711787568,14.8980077332815,0.000113482770054953,0.00042126828636866
"FAGR_UCONN_09374",-1.72966836271571,1.04673581019815,14.8930404167183,0.000113781984242891,0.0004223065860032
"FAGR_UCONN_06216",-2.10872752943247,-0.266053747863303,14.8926121304957,0.000113807819897726,0.000422330047706891
"FAGR_UCONN_09710",-1.62378733600089,1.22817526747347,14.8885843170064,0.00011405108012538,0.000423160205052882
"FAGR_UCONN_11854",1.06674431102036,2.49678467159062,14.8832008521645,0.000114377032502917,0.000424296835349355
"FAGR_UCONN_10483",-0.464528587243075,7.38228978241248,14.8826685503214,0.000114409312652719,0.000424343846517591
"FAGR_UCONN_31891",0.789123446389489,4.06909235982048,14.8791492267835,0.000114622964320586,0.000425063432800911
